step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
206,CASH_IN,19494.63,C517214634,16824.17,36318.8,C661911683,27828.98,8334.35,0,0
156,CASH_IN,72561.18,C682959064,6698.42,79259.6,C260291134,191073.09,118511.91,0,0
419,CASH_OUT,19147.96,C155427093,33319.45,14171.49,C345812995,86502.23,105650.19,0,0
86,CASH_OUT,20700.79,C795404625,32131.04,11430.25,C257251883,111676.87,132377.66,0,0
580,PAYMENT,205.33,C175540777,33270.38,33065.05,M616120137,0.0,0.0,0,0
663,CASH_OUT,32484.69,C241183920,97410.15,64925.46,C992060888,47695.29,80179.98,0,0
327,TRANSFER,78960.14,C815920799,214882.36,135922.22,C284746862,29838.91,108799.05,0,0
419,CASH_OUT,31214.84,C331891155,81488.1,50273.26,C941072008,48708.69,79923.53,0,0
609,PAYMENT,1404.81,C352983175,18604.47,17199.66,M200063343,0.0,0.0,0,0
199,PAYMENT,511.51,C591622622,8581.1,8069.59,M373652440,0.0,0.0,0,0
615,CASH_IN,51224.2,C474279934,285833.11,337057.31,C592484623,90277.86,39053.66,0,0
495,PAYMENT,2966.6,C295103508,9771.38,6804.78,M249250253,0.0,0.0,0,0
38,PAYMENT,1247.98,C445640014,5527.53,4279.55,M427183189,0.0,0.0,0,0
479,CASH_IN,15222.47,C965658176,71168.52,86390.99,C742557281,64315.42,49092.95,0,0
662,CASH_IN,35804.65,C785915126,41773.04,77577.69,C456338767,346177.3,310372.65,0,0
353,PAYMENT,235.31,C816548378,12425.65,12190.34,M602503687,0.0,0.0,0,0
656,CASH_IN,55795.46,C961262993,31081.78,86877.24,C681235236,347758.7,291963.24,0,0
155,CASH_IN,84664.44,C446865741,182172.3,266836.74,C476125712,232866.71,148202.27,0,0
275,CASH_OUT,78102.15,C951259209,154040.16,75938.01,C111837518,14817.53,92919.68,0,0
687,TRANSFER,30078.27,C362360624,49770.96,19692.69,C405659291,112307.73,142386.0,0,0
179,CASH_IN,838017.88,C158408496,113813.86,951831.74,C959615611,21769.26,0.0,0,0
351,PAYMENT,569.97,C800390751,7890.68,7320.71,M716206653,0.0,0.0,0,0
64,CASH_IN,70664.6,C307931632,105469.07,176133.67,C940548957,94052.28,23387.68,0,0
316,CASH_OUT,5884.69,C205203690,32552.11,26667.42,C323249610,141638.6,147523.29,0,0
399,CASH_OUT,6005.88,C118242624,54295.94,48290.06,C694268373,164527.35,170533.23,0,0
80,TRANSFER,29407.89,C366250159,38943.83,9535.94,C961448218,17447.58,46855.47,0,0
421,PAYMENT,3922.31,C824217110,7209.79,3287.48,M654509640,0.0,0.0,0,0
185,CASH_OUT,8055.36,C529004010,39082.03,31026.67,C920341909,225546.56,233601.92,0,0
88,PAYMENT,4989.24,C493839583,9601.86,4612.62,M146654716,0.0,0.0,0,0
35,CASH_IN,12152.04,C629804398,357438.53,369590.57,C716942695,16555.45,4403.41,0,0
706,PAYMENT,571.82,C518814762,12395.38,11823.56,M970896342,0.0,0.0,0,0
133,PAYMENT,4216.43,C883100207,12064.37,7847.94,M670751710,0.0,0.0,0,0
513,PAYMENT,3483.23,C352464651,5897.42,2414.19,M421250669,0.0,0.0,0,0
238,CASH_OUT,138378.28,C964599456,155565.84,17187.56,C792502416,4111.45,142489.73,0,0
84,PAYMENT,893.83,C691684719,12308.97,11415.14,M780166865,0.0,0.0,0,0
524,TRANSFER,8676.56,C888240327,182274.56,173598.0,C831031402,26891.86,35568.42,0,0
692,CASH_OUT,152589.25,C655438983,182840.89,30251.64,C772148405,88377.9,240967.15,0,0
732,CASH_OUT,7984.03,C561879946,97250.26,89266.23,C824294454,181447.8,189431.83,0,0
418,TRANSFER,56396.21,C132141162,135092.33,78696.12,C464540253,35466.22,91862.43,0,0
617,PAYMENT,1067.96,C951061076,1882.16,814.2,M397814145,0.0,0.0,0,0
274,CASH_OUT,36050.47,C465893740,211845.37,175794.9,C592110405,87591.59,123642.06,0,0
38,CASH_IN,20597.87,C195161184,130764.99,151362.86,C458105137,297621.82,277023.95,0,0
224,CASH_OUT,129062.28,C486682831,194786.66,65724.38,C649472608,140665.95,269728.23,0,0
708,CASH_OUT,352408.49,C202658633,361608.03,9199.54,C363975008,2864.67,355273.16,0,0
79,PAYMENT,3584.48,C555406394,11628.75,8044.27,M895445297,0.0,0.0,0,0
323,PAYMENT,432.83,C360912929,28450.68,28017.85,M399768756,0.0,0.0,0,0
736,TRANSFER,81639.15,C348003982,109603.81,27964.66,C131399145,80163.55,161802.7,0,0
384,TRANSFER,127003.97,C552721979,150350.05,23346.08,C181816574,2244.26,129248.23,0,0
346,CASH_OUT,71730.37,C387461716,114351.5,42621.13,C712686029,73352.4,145082.77,0,0
181,CASH_IN,3517.6,C409870019,82977.15,86494.75,C923207701,159152.84,155635.24,0,0
325,CASH_OUT,68389.47,C826903471,97866.22,29476.75,C637635217,181304.45,249693.92,0,0
537,PAYMENT,2278.3,C480076794,3558.64,1280.34,M349361835,0.0,0.0,0,0
663,PAYMENT,1214.57,C735196384,21234.49,20019.92,M564931068,0.0,0.0,0,0
593,CASH_IN,7486.15,C131783510,418985.19,426471.34,C922526267,10723.16,3237.01,0,0
705,TRANSFER,36742.62,C320768311,51888.87,15146.25,C480482134,80196.41,116939.03,0,0
185,CASH_OUT,152526.13,C111671583,153147.39,621.26,C252488797,8642.93,161169.06,0,0
496,PAYMENT,525.6,C257754440,17373.81,16848.21,M499985837,0.0,0.0,0,0
369,CASH_IN,26276.99,C257916075,266372.61,292649.6,C655442788,35086.94,8809.95,0,0
304,PAYMENT,5649.52,C683736452,12047.63,6398.11,M493584240,0.0,0.0,0,0
420,CASH_OUT,28923.11,C634228538,101729.71,72806.6,C478291663,19021.47,47944.58,0,0
352,DEBIT,2349.32,C432006180,57997.66,55648.34,C479550168,46297.46,48646.78,0,0
494,CASH_OUT,3949.63,C838625049,51072.15,47122.52,C799222012,442722.62,446672.25,0,0
557,CASH_IN,23365.7,C100817299,63225.87,86591.57,C891205776,136446.83,113081.13,0,0
618,PAYMENT,332.12,C609634784,584.41,252.29,M529570886,0.0,0.0,0,0
590,PAYMENT,362.86,C614934959,11495.32,11132.46,M534460953,0.0,0.0,0,0
665,PAYMENT,97.95,C434756260,3781.49,3683.54,M633045831,0.0,0.0,0,0
656,CASH_OUT,232359.51,C298706529,232359.51,0.0,C849875109,0.0,0.0,1,0
665,TRANSFER,646925.98,C148382661,719712.97,72786.99,C721728118,24549.24,671475.22,0,0
301,CASH_OUT,41286.31,C622530131,79201.05,37914.74,C899680831,17460.89,58747.2,0,0
210,PAYMENT,83.26,C597863645,1627.02,1543.76,M838628594,0.0,0.0,0,0
687,CASH_OUT,9701.16,C647512698,71681.57,61980.41,C517148432,93396.77,103097.93,0,0
348,PAYMENT,1517.77,C997645709,5176.92,3659.15,M179696654,0.0,0.0,0,0
297,CASH_OUT,22185.86,C857714152,37735.76,15549.9,C744922385,43394.41,65580.27,0,0
18,CASH_IN,48161.22,C446465223,45648.82,93810.04,C465402069,8400.69,0.0,0,0
590,PAYMENT,1285.04,C781381467,8893.13,7608.09,M564673327,0.0,0.0,0,0
167,CASH_OUT,53724.03,C674749660,112455.46,58731.43,C556964703,130869.75,184593.78,0,0
204,PAYMENT,38.56,C645542541,1212.26,1173.7,M576640463,0.0,0.0,0,0
568,PAYMENT,1059.64,C538310425,28343.38,27283.74,M594689703,0.0,0.0,0,0
15,PAYMENT,2010.54,C499896289,10615.67,8605.13,M673076486,0.0,0.0,0,0
279,PAYMENT,530.11,C512499093,25884.48,25354.37,M353456048,0.0,0.0,0,0
185,CASH_OUT,45046.19,C500973560,139887.89,94841.7,C215537716,20862.72,65908.91,0,0
560,TRANSFER,58732.78,C792385623,85934.35,27201.57,C777200008,653102.31,711835.09,0,0
734,PAYMENT,2888.46,C788029301,6580.85,3692.39,M183448013,0.0,0.0,0,0
254,CASH_OUT,89216.31,C905458983,89380.22,163.91,C511142425,29120.29,118336.6,0,0
443,CASH_OUT,31690.87,C519099008,47548.98,15858.11,C175311755,145888.89,177579.76,0,0
397,PAYMENT,3324.58,C386481000,31153.79,27829.21,M916062894,0.0,0.0,0,0
182,CASH_OUT,43743.69,C622220376,80277.24,36533.55,C872603130,140054.48,183798.17,0,0
59,PAYMENT,318.95,C986946936,7348.94,7029.99,M815993414,0.0,0.0,0,0
59,PAYMENT,614.84,C575882513,11280.2,10665.36,M535005204,0.0,0.0,0,0
17,PAYMENT,891.9,C948703516,10709.5,9817.6,M388763708,0.0,0.0,0,0
630,PAYMENT,1648.85,C196490199,8309.25,6660.4,M580546181,0.0,0.0,0,0
107,CASH_OUT,83023.93,C151479032,160020.72,76996.79,C630270856,378748.15,461772.08,0,0
232,CASH_OUT,14691.44,C825486598,168799.47,154108.03,C658360085,16224.49,30915.93,0,0
154,PAYMENT,5802.2,C187799262,19890.9,14088.7,M808530947,0.0,0.0,0,0
615,CASH_OUT,21324.99,C111891074,67233.67,45908.68,C548376158,174680.35,196005.34,0,0
203,PAYMENT,2709.0,C253441422,7449.48,4740.48,M957212245,0.0,0.0,0,0
667,PAYMENT,2575.25,C771286657,9239.7,6664.45,M997055758,0.0,0.0,0,0
156,TRANSFER,15794.13,C555763617,110619.37,94825.24,C869295184,54461.26,70255.39,0,0
202,PAYMENT,252.74,C125734762,5131.85,4879.11,M217703502,0.0,0.0,0,0
182,CASH_IN,213431.17,C883992686,50671.9,264103.07,C268244915,180929.46,0.0,0,0
272,CASH_IN,214392.02,C375142726,19831.22,234223.24,C486571500,17959.55,0.0,0,0
42,PAYMENT,768.15,C626346924,21699.86,20931.71,M764985687,0.0,0.0,0,0
16,CASH_IN,69953.85,C520801327,64572.13,134525.98,C428438796,27790.05,0.0,0,0
377,PAYMENT,817.31,C259274952,15765.78,14948.47,M208520161,0.0,0.0,0,0
540,CASH_IN,6434.1,C935860255,67666.45,74100.55,C841930136,304430.2,297996.1,0,0
546,PAYMENT,1886.86,C933291192,75260.5,73373.64,M633020612,0.0,0.0,0,0
710,PAYMENT,1941.46,C225469160,3574.19,1632.73,M478674502,0.0,0.0,0,0
559,PAYMENT,172.07,C604395497,9691.01,9518.94,M725983706,0.0,0.0,0,0
106,CASH_IN,12403.21,C474401911,4257.93,16661.14,C721261703,38557.81,26154.6,0,0
64,TRANSFER,52955.83,C117869992,85864.43,32908.6,C524541949,2844.93,55800.76,0,0
284,CASH_OUT,14729.14,C710241623,25511.67,10782.53,C792502224,341289.91,356019.05,0,0
175,CASH_IN,29337.98,C694300545,209437.38,238775.36,C951413314,142453.63,113115.65,0,0
523,PAYMENT,1465.92,C527552010,29514.66,28048.74,M808303026,0.0,0.0,0,0
642,CASH_OUT,23270.61,C934734845,40686.93,17416.32,C436223568,221357.7,244628.31,0,0
60,CASH_OUT,121853.37,C210971585,124998.28,3144.91,C536040198,49249.9,171103.27,0,0
16,CASH_OUT,42969.31,C138981575,89232.56,46263.25,C623058379,20326.85,63296.16,0,0
57,CASH_IN,51642.42,C980564849,49134.51,100776.93,C534135048,70909.92,19267.5,0,0
114,PAYMENT,1676.56,C280248706,23141.73,21465.17,M838003992,0.0,0.0,0,0
352,PAYMENT,771.36,C721424758,11754.71,10983.35,M398306841,0.0,0.0,0,0
325,CASH_OUT,129164.87,C836884563,141202.92,12038.05,C980373060,4239.21,133404.08,0,0
67,CASH_OUT,35233.09,C876093640,150034.51,114801.42,C515708310,271398.67,306631.76,0,0
8,PAYMENT,1869.62,C752303690,15878.45,14008.83,M389283477,0.0,0.0,0,0
115,PAYMENT,2885.14,C422988571,14378.44,11493.3,M818714295,0.0,0.0,0,0
603,PAYMENT,1980.11,C227874585,37183.65,35203.54,M185232182,0.0,0.0,0,0
545,CASH_OUT,16327.42,C568839931,18269.57,1942.15,C275892453,438528.99,454856.41,0,0
735,TRANSFER,14124.99,C462241852,15680.3,1555.31,C596388922,208033.84,222158.83,0,0
328,CASH_OUT,118461.39,C596428601,149891.57,31430.18,C388745277,173292.11,291753.5,0,0
157,CASH_IN,62638.59,C923849559,42536.06,105174.65,C502373412,81816.7,19178.11,0,0
643,CASH_OUT,11135.61,C786772900,56670.9,45397.621016112,C229358903,48246.88,59382.49,0,0
203,PAYMENT,18173.58,C691988138,76666.06,58492.48,M736071724,0.0,0.0,0,0
347,PAYMENT,1789.24,C596517132,35122.85,33333.61,M615779035,0.0,0.0,0,0
347,CASH_IN,130984.48,C693791763,30631.14,161615.62,C391123178,165850.84,34866.36,0,0
617,PAYMENT,588.4,C851565342,10128.6,9540.2,M409959775,0.0,0.0,0,0
230,CASH_IN,29815.3,C835408593,137709.37,167524.67,C600658011,37496.42,7681.12,0,0
662,CASH_OUT,17645.64,C765063551,45033.94,27388.3,C517879624,16481.55,34127.19,0,0
306,PAYMENT,733.35,C736773812,60993.35,60260.0,M150324845,0.0,0.0,0,0
450,PAYMENT,88.23,C211691247,5621.8,5533.57,M286855803,0.0,0.0,0,0
729,CASH_IN,33540.7,C537354161,3721.64,37262.34,C915752388,35911.28,2370.58,0,0
158,PAYMENT,5400.48,C256729316,43340.21,37939.73,M798360772,0.0,0.0,0,0
392,PAYMENT,547.22,C990315841,55331.91,54784.69,M420594075,0.0,0.0,0,0
475,PAYMENT,2841.94,C503060413,6929.73,4087.79,M900767492,0.0,0.0,0,0
690,PAYMENT,172.77,C575326065,955.9,783.13,M801948481,0.0,0.0,0,0
91,CASH_OUT,185988.06,C380275290,256809.27,70821.21,C280799552,36808.14,222796.2,0,0
712,CASH_OUT,22923.46,C937130706,64360.18,41436.72,C808598933,78027.87,100951.33,0,0
109,CASH_OUT,7593.65,C149193937,55880.13,48286.48,C495067716,138261.13,145854.78,0,0
540,TRANSFER,64674.92,C461198722,170628.2,105953.28,C483395519,8528.89,73203.81,0,0
156,PAYMENT,286.96,C202301160,5571.8,5284.84,M999197557,0.0,0.0,0,0
294,CASH_OUT,13361.62,C313931865,60257.07,46895.45,C153319195,73165.59,86527.21,0,0
357,CASH_OUT,26252.49,C411163823,204111.32,177858.83,C527383565,162346.8,188599.29,0,0
253,CASH_IN,10334.57,C445344172,110518.77,120853.34,C626611524,155443.61,145109.04,0,0
692,CASH_OUT,34652.67,C609934335,39225.17,4572.5,C317580975,8331.79,42984.46,0,0
91,CASH_OUT,8550.81,C675959270,52260.67,43709.86,C373787681,74905.85,83456.66,0,0
306,PAYMENT,3817.26,C462500992,42934.35,39117.09,M780991993,0.0,0.0,0,0
159,CASH_IN,353968.92,C719707904,26239.73,380208.65,C897656861,230393.08,0.0,0,0
632,CASH_OUT,125779.63,C565937885,143496.8,17717.17,C662907800,132659.33,258438.96,0,0
443,CASH_OUT,338442.43,C193064385,379988.64,41546.21,C747703405,154699.47,493141.9,0,0
519,PAYMENT,169.52,C916937968,34297.03,34127.51,M361367376,0.0,0.0,0,0
650,PAYMENT,1983.1,C217745563,10695.59,8712.49,M372835140,0.0,0.0,0,0
29,CASH_OUT,27059.66,C168942234,32665.08,5605.42,C609654241,334345.22,361404.88,0,0
232,CASH_OUT,14749.86,C380288568,138042.94,123293.08,C285784941,66705.83,81455.69,0,0
307,CASH_OUT,14598.69,C306230510,15240.46,641.77,C516606137,71432.25,86030.94,0,0
715,PAYMENT,4417.69,C624878744,15430.96,11013.27,M105332298,0.0,0.0,0,0
585,CASH_OUT,32002.63,C916120274,38195.9,6193.27,C250731355,94738.92,126741.55,0,0
500,TRANSFER,282264.37,C530002828,586980.27,304715.9,C586494366,23565.91,305830.28,0,0
136,PAYMENT,6089.32,C458738398,57985.74,51896.42,M858085405,0.0,0.0,0,0
665,PAYMENT,2968.91,C387402883,43223.06,40254.15,M109040521,0.0,0.0,0,0
659,CASH_OUT,36644.14,C933266757,71732.43,35088.29,C515220259,121611.39,158255.53,0,0
281,PAYMENT,3663.43,C269762430,21405.44,17742.01,M903399232,0.0,0.0,0,0
280,CASH_IN,17095.54,C228050876,4685.8,21781.34,C239428583,15377.19,0.0,0,0
471,CASH_IN,23834.48,C325858978,412.64,24247.12,C274927036,2269.58,0.0,0,0
708,CASH_OUT,97794.54,C730106743,200653.67,102859.13,C855476137,460623.12,558417.66,0,0
714,CASH_OUT,135776.62,C465302540,181799.04,46022.42,C745454420,280587.17,416363.79,0,0
261,CASH_IN,17047.06,C313071559,30185.77,47232.83,C901080693,45952.33,28905.27,0,0
619,PAYMENT,2596.26,C282575830,5673.49,3077.23,M254380251,0.0,0.0,0,0
538,PAYMENT,2051.16,C743791010,2501.19,450.03,M993126135,0.0,0.0,0,0
661,PAYMENT,1699.56,C655097932,3795.2,2095.64,M561981843,0.0,0.0,0,0
587,PAYMENT,2009.21,C225106745,118360.78,116351.57,M164579585,0.0,0.0,0,0
160,CASH_OUT,39875.77,C482511598,42298.16,2422.39,C389935647,3256.75,43132.52,0,0
714,CASH_OUT,27621.05,C321953237,160450.82,132829.77,C771506962,325586.37,353207.42,0,0
10,CASH_OUT,33708.57,C548092403,93635.54,59926.97,C230175409,1018.65,34727.22,0,0
21,PAYMENT,2197.11,C750308327,16761.29,14564.18,M264255225,0.0,0.0,0,0
592,CASH_OUT,121099.9,C786024489,129376.52,8276.62,C881483536,661475.99,782575.89,0,0
634,PAYMENT,493.46,C939414940,26032.09,25538.63,M228036959,0.0,0.0,0,0
708,CASH_IN,170835.47,C260527493,154629.01,325464.48,C218002502,23828.13,0.0,0,0
584,PAYMENT,565.51,C765621519,9480.05,8914.54,M774150747,0.0,0.0,0,0
471,PAYMENT,581.79,C841585466,48914.17,48332.38,M325877214,0.0,0.0,0,0
297,PAYMENT,2174.79,C257094678,2326.74,151.95,M442058982,0.0,0.0,0,0
208,PAYMENT,1670.38,C322158758,1940.74,270.36,M336076754,0.0,0.0,0,0
65,TRANSFER,149054.99,C108917543,187884.3,38829.31,C882872645,5794.79,154849.78,0,0
157,PAYMENT,556.03,C819540511,19621.42,19065.39,M971826245,0.0,0.0,0,0
127,CASH_OUT,64267.22,C928134402,73540.85,9273.63,C655799506,247014.41,311281.63,0,0
183,CASH_OUT,10428.06,C864532168,73991.75,63563.69,C604309835,19174.22,29602.28,0,0
636,PAYMENT,62.68,C559820805,4635.5,4572.82,M458826493,0.0,0.0,0,0
213,CASH_OUT,54271.07,C715576195,75144.19,20873.12,C709695047,40709.97,94981.04,0,0
710,CASH_OUT,254549.67,C820155027,324108.02,69558.35,C802432757,115279.23,369828.9,0,0
103,PAYMENT,436.48,C715827044,17274.58,16838.1,M278160653,0.0,0.0,0,0
15,CASH_OUT,56816.48,C856518313,59824.57,2679.3108525598404,C350819640,153018.12,209834.6,0,0
449,CASH_OUT,140801.65,C478341261,157246.34,16444.69,C368818233,66269.31,207070.96,0,0
225,CASH_OUT,41087.32,C381804546,45781.75,4694.43,C533856975,202807.32,243894.64,0,0
277,CASH_IN,36608.16,C353282274,111196.47,147804.63,C382714051,5471.42,0.0,0,0
569,PAYMENT,301.93,C827540161,67385.59,67083.66,M499516981,0.0,0.0,0,0
339,CASH_IN,221231.65,C125039758,107381.17,328612.82,C297321116,11941.93,0.0,0,0
627,PAYMENT,628.09,C586953415,19259.95,18631.86,M854872567,0.0,0.0,0,0
520,CASH_OUT,19089.95,C808034717,105216.32,86126.37,C879426814,48270.96,67360.91,0,0
569,PAYMENT,315.77,C959427301,30123.65,29807.88,M522033395,0.0,0.0,0,0
211,CASH_OUT,19286.14,C738113846,61451.34,42165.2,C865406154,17029.89,36316.03,0,0
468,PAYMENT,246.47,C121180856,36882.28,36635.81,M621804391,0.0,0.0,0,0
396,CASH_OUT,22840.77,C579924694,54125.33,31284.56,C595790400,167064.25,189905.02,0,0
710,PAYMENT,2245.91,C121955678,8321.91,6076.0,M265407111,0.0,0.0,0,0
401,CASH_OUT,41777.2,C527647520,44999.77,3222.57,C636303895,100404.13,142181.33,0,0
615,CASH_IN,24641.65,C324802371,131663.67,156305.32,C514465498,155364.25,130722.6,0,0
467,TRANSFER,19169.21,C287693414,46137.23,26968.02,C580814785,295838.52,315007.73,0,0
276,PAYMENT,2590.8,C885294985,21881.1,19290.3,M612193676,0.0,0.0,0,0
713,CASH_OUT,111084.03,C850453760,205148.75,94064.72,C136944183,181002.33,292086.36,0,0
158,CASH_IN,11447.77,C178511513,552.09,11999.86,C508060300,11931.14,483.37,0,0
31,CASH_OUT,30372.36,C622002342,112177.16,81804.8,C395759555,11146.72,41519.08,0,0
57,CASH_IN,90335.84,C684680172,4946.51,95282.35,C132172795,79304.99,0.0,0,0
403,CASH_IN,2324.21,C746217056,434042.75,436366.96,C135605370,9158.16,6833.95,0,0
120,CASH_IN,16698.01,C375025842,3886.25,20584.26,C828129815,479465.69,462767.68,0,0
395,TRANSFER,60233.66,C658432411,69039.52,9294.448285611361,C321661454,38694.83,98928.49,0,0
564,CASH_IN,79628.67,C138608186,99966.18,179594.85,C443930479,95621.01,15992.34,0,0
393,PAYMENT,6840.54,C241284189,10365.87,3525.33,M234111042,0.0,0.0,0,0
634,CASH_IN,22582.93,C463045692,5699.79,28282.72,C926908502,10057.28,0.0,0,0
397,PAYMENT,1068.88,C990613512,12779.67,11710.79,M473478660,0.0,0.0,0,0
35,CASH_OUT,197357.56,C362887650,210086.49,12728.93,C696170636,37632.72,234990.28,0,0
40,CASH_OUT,46298.34,C144068137,98671.7,52373.36,C487616083,68086.41,114384.75,0,0
662,PAYMENT,4211.19,C215892577,6442.46,2231.27,M595486245,0.0,0.0,0,0
522,PAYMENT,228.85,C461796461,16738.48,16509.63,M547690418,0.0,0.0,0,0
545,PAYMENT,6955.13,C168372165,14414.62,7459.49,M743120406,0.0,0.0,0,0
104,CASH_OUT,90779.24,C210517906,140421.08,49641.84,C753461945,15360.76,106140.0,0,0
8,PAYMENT,2927.91,C764438813,12487.21,9559.3,M772870708,0.0,0.0,0,0
20,TRANSFER,81711.47,C638047690,106890.94,25179.47,C718677175,85245.37,166956.84,0,0
450,PAYMENT,631.1,C513337297,2793.83,2162.73,M669782786,0.0,0.0,0,0
